# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen2_xA eigen2_yA eigen2_zA eigen3_xA eigen3_yA eigen3_zA lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen2_xB eigen2_yB eigen2_zB eigen3_xB eigen3_yB eigen3_zB 
# 120
0.763673 0.508213 0.142421 -0.909034 0.269590 0.317770 0.414366 0.665719 0.620580 0.044244 -0.695801 0.716870 0.832556 0.572571 0.138552 -0.869404 0.317349 0.378716 0.493922 0.578857 0.648819 0.013320 -0.751142 0.660006 
0.958299 0.595358 0.127549 -0.832454 0.478542 0.279316 0.073210 -0.404685 0.911521 0.549236 0.779248 0.301848 1.008840 0.703710 0.203236 -0.849585 0.496738 0.177359 -0.138918 -0.535116 0.833278 0.508828 0.683303 0.523632 
0.795896 0.581878 -0.068185 -0.812627 -0.389654 0.433367 0.577009 -0.642369 0.504404 0.081839 0.659949 0.746840 0.795896 0.581878 -0.068185 -0.812627 -0.389654 0.433367 0.577009 -0.642369 0.504404 0.081839 0.659949 0.746840 
0.937502 0.700359 -0.155431 -0.789817 0.612266 0.036331 0.366172 0.423180 0.828756 -0.492044 -0.667869 0.558430 0.937502 0.700359 -0.155431 -0.789817 0.612266 0.036331 0.366172 0.423180 0.828756 -0.492044 -0.667869 0.558430 
0.729974 0.628112 0.360086 -0.991668 0.054034 0.116936 0.099712 -0.252732 0.962384 0.081555 0.966026 0.245239 0.789220 0.514681 0.469545 -0.988800 0.031642 0.145854 0.131728 -0.274370 0.952559 0.070159 0.961103 0.267129 
0.702083 0.446507 0.093205 -0.553654 0.410189 0.724715 -0.577232 -0.816308 0.021049 0.600225 -0.406676 0.688727 0.717080 0.376022 0.074550 -0.539854 0.336271 0.771673 0.693458 0.697323 0.181264 0.477152 -0.632979 0.609642 
0.980397 0.551390 -0.194766 -0.643980 0.092107 0.759477 0.680177 -0.385507 0.623493 0.350212 0.918096 0.185610 0.825992 0.357256 -0.313956 -0.461231 0.019222 0.887072 0.850284 -0.276106 0.448087 0.253539 0.960935 0.111004 
0.605580 0.475931 0.069807 -0.474390 -0.246708 0.845038 0.498417 -0.866522 0.026823 0.725627 0.433906 0.534033 0.588205 0.517294 0.093683 -0.429678 -0.233802 0.872189 0.534922 -0.844079 0.037259 0.727485 0.482563 0.487748 
0.588205 0.517294 0.093683 -0.429678 -0.233802 0.872189 0.534922 -0.844079 0.037259 0.727485 0.482563 0.487748 0.605580 0.475931 0.069807 -0.474390 -0.246708 0.845038 0.498417 -0.866522 0.026823 0.725627 0.433906 0.534033 
0.348944 0.119604 -0.008230 0.495859 0.789174 0.362393 0.638236 -0.614169 0.464167 -0.588879 -0.001132 0.808221 0.414279 0.206093 0.041566 0.704373 0.606944 0.368072 -0.667178 0.743125 0.051367 -0.242347 -0.281751 0.928378 
0.704312 0.589710 0.385343 -0.850109 -0.412724 0.327068 0.497735 -0.426913 0.754987 -0.171972 0.804615 0.568349 0.704312 0.589710 0.385343 -0.850109 -0.412724 0.327068 0.497735 -0.426913 0.754987 -0.171972 0.804615 0.568349 
0.215182 0.141508 0.005653 -0.781859 0.475442 0.403301 0.618189 0.675102 0.402591 0.080861 -0.564086 0.821747 0.215182 0.141508 0.005653 -0.781859 0.475442 0.403301 0.618189 0.675102 0.402591 0.080861 -0.564086 0.821747 
0.582025 0.257806 0.139950 -0.407536 0.750609 0.520097 -0.361056 -0.655576 0.663218 0.838781 0.082501 0.538183 0.582025 0.257806 0.139950 -0.407536 0.750609 0.520097 -0.361056 -0.655576 0.663218 0.838781 0.082501 0.538183 
0.767348 0.457487 0.067244 0.225188 -0.522562 0.822326 -0.742531 0.454409 0.492099 0.630824 0.721417 0.285691 0.767348 0.457487 0.067244 0.225188 -0.522562 0.822326 -0.742531 0.454409 0.492099 0.630824 0.721417 0.285691 
0.145432 0.023645 -0.099505 -0.431031 0.229206 0.872741 0.740311 -0.463156 0.487264 0.515899 0.856126 0.029951 0.161370 0.016616 -0.097549 -0.275010 0.228593 0.933871 0.877185 -0.337983 0.341049 -0.393594 -0.912969 0.107570 
0.709642 0.360602 0.015004 -0.360581 0.917317 0.168848 -0.516989 -0.347234 0.782401 0.776340 0.194827 0.599449 0.709642 0.360602 0.015004 -0.360581 0.917317 0.168848 -0.516989 -0.347234 0.782401 0.776340 0.194827 0.599449 
0.201576 -0.032527 -0.128928 -0.895334 -0.281472 0.345182 0.204588 0.428502 0.880074 0.395627 -0.858580 0.326066 0.201576 -0.032527 -0.128928 -0.895334 -0.281472 0.345182 0.204588 0.428502 0.880074 0.395627 -0.858580 0.326066 
0.623257 0.206094 -0.088533 -0.784422 -0.202118 0.586371 -0.240152 0.970644 0.013309 0.571848 0.130378 0.809933 0.560288 0.080999 -0.101307 -0.832094 -0.057864 0.551607 0.194736 0.900746 0.388246 0.519323 -0.430476 0.738237 
0.923487 0.702108 0.502699 0.155720 -0.201415 0.967049 -0.950478 0.236017 0.202208 0.268968 0.950646 0.154687 0.991682 0.769742 0.654430 0.075864 -0.452842 0.888357 0.340990 0.848992 0.403656 -0.937001 0.272298 0.218822 
0.696674 0.302139 -0.140614 0.135274 -0.657968 0.740796 -0.979947 -0.199247 0.001975 -0.146302 0.726208 0.671727 0.687946 0.295572 -0.039340 -0.089756 -0.689716 0.718495 0.982437 0.057180 0.177618 -0.163590 0.721819 0.672470 
0.494019 0.221097 -0.045677 -0.928125 -0.192437 0.318672 0.122138 0.651233 0.748984 0.351662 -0.734073 0.580922 0.494019 0.221097 -0.045677 -0.928125 -0.192437 0.318672 0.122138 0.651233 0.748984 0.351662 -0.734073 0.580922 
0.557922 0.176840 -0.210546 -0.106890 -0.100901 0.989138 0.364273 0.921691 0.133385 0.925138 -0.374574 0.061764 0.596491 0.206360 -0.249572 -0.147165 -0.117958 0.982053 0.360101 0.918337 0.164268 0.921233 -0.377812 0.092671 
0.596491 0.206360 -0.249572 -0.147165 -0.117958 0.982053 0.360101 0.918337 0.164268 0.921233 -0.377812 0.092671 0.557922 0.176840 -0.210546 -0.106890 -0.100901 0.989138 0.364273 0.921691 0.133385 0.925138 -0.374574 0.061764 
0.861116 0.443907 -0.146691 -0.088817 0.960941 0.262116 0.294325 -0.226085 0.928579 -0.951569 -0.159620 0.262749 0.861116 0.443907 -0.146691 -0.088817 0.960941 0.262116 0.294325 -0.226085 0.928579 -0.951569 -0.159620 0.262749 
0.201611 0.031224 -0.060936 -0.111834 -0.815385 0.568015 -0.958467 0.239421 0.154980 0.262363 0.527092 0.808294 0.132161 -0.010138 -0.094241 -0.027884 -0.791178 0.610951 -0.949933 0.211252 0.230215 0.311206 0.573943 0.757457 
0.980857 0.279697 0.020595 -0.540530 0.302602 0.785022 0.680144 -0.392046 0.619438 0.495208 0.868753 0.006099 1.190881 0.359960 0.037462 -0.597843 0.306740 0.740604 0.706351 -0.235249 0.667627 -0.379014 -0.922263 0.076025 
0.702690 0.410083 0.139119 -0.601120 0.271266 0.751711 0.797303 0.267642 0.540995 0.054436 -0.924544 0.377166 0.702690 0.410083 0.139119 -0.601120 0.271266 0.751711 0.797303 0.267642 0.540995 0.054436 -0.924544 0.377166 
0.869317 0.456760 0.208458 -0.166252 0.976917 0.134140 0.591323 -0.010091 0.806372 -0.789112 -0.213381 0.575996 0.948924 0.513527 0.412708 0.182269 -0.981848 0.052460 0.513995 0.140629 0.846187 -0.838205 -0.127270 0.530297 
