#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2 sigmah ecc
#         206
 223.445 113.258 163.875  7.0664e+11 223.243 113.400 163.686  8.2832e+11  -0.198  -0.519  -0.179   0.633   0.551   69.9  0.955
 223.785 216.438  73.902  2.1088e+12 224.042 216.651  74.297  1.9661e+11  -0.160   0.500  -0.167   0.088   0.155   36.2  0.813
 224.430 151.569  65.056  7.6518e+11 224.523 151.279  65.289  3.6152e+11   0.071   0.069   0.057   0.247   0.128   63.6  0.915
 225.774 101.630  59.916  7.6979e+11 225.520 101.617  60.182  6.0339e+11  -0.184  -0.030  -0.177   0.304   0.379   45.6  0.853
 226.794  65.771  26.891  2.0022e+12 226.808  65.461  27.253  4.2182e+11   0.028   0.202   0.172   0.030   0.022   57.7  0.891
 227.931  78.439 106.906  1.0229e+12 227.410  78.215 108.173  2.8483e+12   0.246  -0.139   0.077   1.399   0.450    0.0  0.892
 228.486 181.141  47.556  1.0493e+12 228.490 180.872  47.722  1.0301e+12   0.028  -0.070  -0.115   0.230   0.166   54.4  0.980
 229.338 130.855 210.690  3.3025e+12 229.684 130.984 210.840  5.1084e+11   0.079   0.175  -0.332   0.056   0.099    0.0  0.878
 229.612 144.197 202.811  1.3113e+12 230.037 144.163 202.812  4.6206e+10   0.005   0.057  -0.230   0.018   0.029    0.0  0.791
 230.984 238.845  46.628  2.3591e+11 231.296 238.886  46.764  1.4321e+12   0.054   0.051  -0.139   0.149   0.078   45.5  0.773
 231.296 238.886  46.764  1.4321e+12 230.984 238.845  46.628  2.3591e+11   0.054   0.051  -0.139   0.058   0.108    0.0  0.856
