# eigen3_x eigen3_y eigen3_z x1 y1 z1 x2 y2 z2 nx ny nz
0.154496 0.805253 0.572450 35.676000 111.649000 61.835000 35.615000 112.289000 61.972000 -0.221000 -0.061000 0.188000
0.263184 -0.237842 0.934968 35.879000 23.622000 232.148000 35.923000 23.407000 232.487000 0.504000 -0.181000 -0.181000
-0.948860 0.066813 0.308545 35.953000 45.902000 139.192000 36.272000 45.773000 139.032000 -0.315000 0.322000 -0.882000
-0.457779 -0.884983 0.085105 36.229000 32.793000 112.855000 36.051000 32.431000 112.948000 0.500000 -0.258000 -0.051000
0.787361 0.559119 0.259708 36.895000 212.222000 135.451000 37.255000 212.553000 135.693000 0.116000 -0.259000 0.182000
-0.289547 0.504773 0.813244 37.070000 239.809000 210.287000 36.936000 240.096000 210.616000 -0.700000 -0.559000 0.202000
-0.526270 0.195004 0.827655 37.175000 17.013000 240.066000 36.685000 17.005000 240.703000 0.722000 -0.406000 0.550000
0.841152 0.464250 0.277372 37.255000 212.553000 135.693000 36.895000 212.222000 135.451000 0.116000 -0.259000 0.182000
0.062414 0.570349 0.819028 38.924000 83.950000 64.259000 38.936000 84.168000 64.517000 -0.134000 0.077000 -0.059000
-0.425214 0.736592 0.525952 40.386000 7.669000 47.172000 40.557000 7.351000 46.989000 -0.369000 -0.217000 0.033000
-0.161552 0.901282 0.401986 40.539000 144.882000 49.602000 40.679000 145.076000 49.820000 0.347000 0.332000 -0.517000
-0.425214 0.736592 0.525952 40.557000 7.351000 46.989000 40.386000 7.669000 47.172000 -0.369000 -0.217000 0.033000
-0.072674 0.858393 0.507818 40.679000 145.076000 49.820000 40.539000 144.882000 49.602000 0.347000 0.332000 -0.517000
-0.077016 0.965955 0.246981 40.899000 110.172000 138.837000 40.989000 110.571000 138.876000 -0.248000 0.115000 -0.599000
0.986338 -0.163485 0.020233 40.980000 15.437000 248.519000 41.565000 15.441000 248.449000 -0.081000 -0.549000 -0.701000
-0.362965 0.073280 0.928917 41.315000 79.044000 119.277000 41.737000 78.965000 119.128000 0.130000 0.701000 -0.002000
