#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2
#        5520
   6.682 245.697 198.768  6.1152e+11   6.420 245.855 198.904  2.2859e+11   0.167   0.279  -0.002   0.241   0.314
   6.716  64.890 196.820  4.9431e+11   6.872  65.169 196.689  2.4092e+11  -0.057   0.146   0.242   0.263   0.289
   6.752 195.629 174.255  1.0664e+11   6.522 195.923 174.603  2.8306e+11   0.023  -0.257   0.233   0.370   0.333
   6.769   4.539   6.774  1.1695e+12   7.030   4.478   6.838  1.1816e+11   0.103   0.537   0.088   0.357   0.300
   6.772  32.250 113.586  5.0637e+11   6.869  32.159 113.950  1.6596e+12   0.663  -0.248  -0.239   0.157   0.146
   6.804  30.900  82.976  1.6600e+12   6.977  30.882  83.426  1.0102e+12  -0.287  -0.674   0.083   0.240   0.275
   6.869  32.159 113.950  1.6596e+12   6.772  32.250 113.586  5.0637e+11   0.663  -0.248  -0.239   0.287   0.321
   6.872  65.169 196.689  2.4092e+11   6.716  64.890 196.820  4.9431e+11  -0.057   0.146   0.242   0.378   0.344
   6.965 247.385  64.206  2.9594e+11   6.917 247.951  64.339  3.3130e+11  -0.228   0.047  -0.284   0.019   0.017
   6.977  30.882  83.426  1.0102e+12   6.804  30.900  82.976  1.6600e+12  -0.287  -0.674   0.083   0.217   0.180
   7.029 139.949 142.434  2.6320e+12   7.075 140.405 142.723  1.4079e+11   0.441  -0.197   0.241   0.467   0.584
   7.037   4.806  36.371  4.3090e+10   7.248   4.367  36.551  2.3510e+11  -0.428  -0.211  -0.014   0.098   0.108
   7.052 178.234  31.678  7.1044e+11   6.573 178.343  31.134  5.6369e+11   0.395  -0.630  -0.473   0.114   0.167
   7.053 119.900  13.269  4.6880e+12   6.815 120.403  13.328  1.8997e+12  -0.263  -0.144   0.168   0.194   0.353
   7.110 195.674 166.318  3.0745e+11   7.075 195.372 166.507  1.5786e+11  -0.031   0.189   0.296   0.342   0.367
