# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen2_xA eigen2_yA eigen2_zA eigen3_xA eigen3_yA eigen3_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen2_xB eigen2_yB eigen2_zB eigen3_xB eigen3_yB eigen3_zB 
# 5481
1.974469 1.340358 0.313422 0.316023 -0.743077 0.589886 -0.891320 -0.019494 0.452955 0.325082 0.668922 0.668480 1.974469 1.340358 0.313422 0.316023 -0.743077 0.589886 -0.891320 -0.019494 0.452955 0.325082 0.668922 0.668480 
1.829279 1.083312 0.607453 0.228948 -0.606498 0.761408 -0.178047 0.742899 0.645291 -0.957017 -0.283305 0.062100 1.870940 1.229148 0.417296 0.221709 -0.614455 0.757159 -0.289876 0.699849 0.652827 0.931030 0.364220 0.022953 
3.990490 2.860312 0.245539 0.450403 -0.892738 0.012485 0.222433 0.125742 0.966805 -0.864674 -0.432675 0.255209 3.309954 1.264296 -0.188732 -0.336105 0.916589 0.216560 0.427409 -0.056455 0.902294 -0.839259 -0.395825 0.372784 
0.485382 0.255662 -0.283125 0.989038 -0.048991 0.139296 -0.146028 -0.464405 0.873501 -0.021896 0.884267 0.466468 0.485382 0.255662 -0.283125 0.989038 -0.048991 0.139296 -0.146028 -0.464405 0.873501 -0.021896 0.884267 0.466468 
0.408513 0.116435 -0.345595 -0.351140 0.772108 0.529669 -0.075094 -0.587091 0.806030 0.933307 0.243254 0.264132 0.336632 0.072635 -0.220133 -0.340745 0.696580 0.631402 0.173320 -0.613540 0.770408 0.924042 0.371947 0.088330 
2.983197 2.887778 1.591958 0.695145 -0.582989 0.420592 0.512968 0.812168 0.277935 -0.503624 0.022545 0.863629 2.983197 2.887778 1.591958 0.695145 -0.582989 0.420592 0.512968 0.812168 0.277935 -0.503624 0.022545 0.863629 
2.983197 2.887778 1.591958 0.695145 -0.582989 0.420592 0.512968 0.812168 0.277935 -0.503624 0.022545 0.863629 2.983197 2.887778 1.591958 0.695145 -0.582989 0.420592 0.512968 0.812168 0.277935 -0.503624 0.022545 0.863629 
1.588234 0.521952 -0.858700 -0.405243 0.783979 0.470272 0.375512 -0.326263 0.867492 -0.833528 -0.528138 0.162177 1.351395 0.471976 -0.764423 -0.353515 0.746057 0.564292 0.232526 -0.514224 0.825533 0.906068 0.423051 0.008308 
6.023021 4.901961 1.660414 -0.667710 0.438098 0.601859 -0.220973 -0.888695 0.401737 0.710869 0.135249 0.690198 6.023021 4.901961 1.660414 -0.667710 0.438098 0.601859 -0.220973 -0.888695 0.401737 0.710869 0.135249 0.690198 
4.938421 3.316077 2.886162 -0.326504 -0.898397 0.293731 -0.922686 0.370364 0.107148 0.205049 0.236037 0.949864 4.938421 3.316077 2.886162 -0.326504 -0.898397 0.293731 -0.922686 0.370364 0.107148 0.205049 0.236037 0.949864 
0.706385 -0.205507 -0.413689 0.584577 -0.498832 0.639872 -0.590618 0.279089 0.757152 0.556273 0.820534 0.131470 0.595164 -0.235366 -0.399442 0.611885 -0.472611 0.634221 -0.548609 0.324018 0.770740 0.569759 0.819543 0.061017 
